comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,id,original_rating,selection_score
спасибо управляющей компании за то что прислали грамотного специалиста и быстро отреагировали на заявку,1,0,1,0,0,3627490,5,36.199999999999996
Очень радует работа УК. Оперативно! Спасибо!,1,0,1,0,0,3716702,5,15.999999999999998
"Выполнили отлично , обработка заявки была слишком дорогой",0,0,0,1,0,3749719,5,20.4
"Проблема решена, ручки на окна поставили. Спасибо за обратную связь!",0,0,0,0,1,3834081,5,24.4
"Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)",1,1,1,1,0,3842440,5,27.4
"профессионально, быстро. очень приятный мастер",1,0,1,0,0,3844645,5,16.7
"Спасибо, вопрос решили, всё стало нормально",0,0,0,0,1,3846831,5,15.800000000000002
Татьяна Владимировна большое вам спасибо!!!!,0,0,1,0,0,3848236,5,15.3
Огромное спасибо вам от всего подъезда!!! ))))),0,0,1,1,0,3852179,5,16.6
"спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",1,0,1,0,0,3859780,5,27.799999999999997
"Спасибо! По крайней мере, по ночам пока шума не слышно.",0,0,0,0,1,3863351,5,19.8
"Большое спасибо Александру,за оперативность и профессионализм",1,0,1,0,0,3872124,5,21.2
"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",1,0,1,1,1,3877901,5,23.9
"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции",0,0,1,0,1,3878088,5,50.300000000000004
Всё очень четко организовано! Большое спасибо за работу!,0,0,1,1,0,3879856,5,19.700000000000003
Спасибо Вам большое и за дверь и за номера квартир!,0,0,0,1,0,3880345,5,18.2
"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность !",1,0,1,1,1,3881004,5,34.6
"спасибо, решили мой вопрос на месте в офисе",0,0,0,0,1,3881636,5,16.4
"Спасибо больше Ольге Птушкине, за проделанную работу!",0,0,1,1,0,3882840,5,18.599999999999998
"всё сделали хорошо, починили вовремя. наверное, молодцы.",1,1,1,0,1,3883200,5,19.5
"Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.",1,1,1,1,1,3883745,5,56.5
Умело подкрутили редукторы давления. Молодец!,0,1,1,0,1,3884964,5,15.8
"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам",0,0,1,0,0,3886150,5,35.5
"быстро, чётко, без проблем. одно слово - мастер!",1,1,1,0,1,3886231,5,18.099999999999998
"сегодня ездил, все исправно работает, спасибо!",0,0,0,0,1,3886923,5,16.1
"Сервис на высоте, мастер - профессионал",0,0,1,1,0,3887422,5,14.6
"Спасибо сантехнику Алексею, все сделано качественно",0,1,1,0,0,3888354,5,17.9
"Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!",1,0,1,1,1,3888539,5,81.3
Очень оперативно и никуда не пришлось ходить.,1,0,1,0,0,3888591,5,16.2
"оперативно, качественно, вопросов не возникло. Спасибо.",1,1,0,1,0,3888794,5,19.7
Первый раз вы решили вопрос быстро,1,0,0,0,1,3889542,5,13.499999999999998
отличная работа. теперь дверь закрывается плавно. спасибо.,0,1,0,0,1,3890275,5,20.299999999999997
Александру спасибо за объяснение причины бульканья !,0,0,1,0,0,3890678,5,18.099999999999998
мастер сделал все очень быстро и аккуратно,1,1,1,0,0,3891095,5,16.2
Очень вежливый и профессиональный мастер. Устранил все недочеты оперативно и качественно. Просто отлично. Спасибо,1,1,1,1,1,3891325,5,40.099999999999994
"Спасибо специалисту Роману, который помог мне наконец-то решить мой вопрос! Очень грамотный и вежливый специалист)",0,0,1,0,1,3891489,5,40.49999999999999
спасибо! в тот же день электрик решил проблему.,1,0,0,0,1,3891568,5,17.599999999999998
"Лифт и полы помыли , большое спасибо за уборку ! Ждём установку зеркал в лифтах",0,0,0,1,0,3891612,5,28.8
Спасибо большое за Вашу быструю и профессиональную помощь.,1,0,1,0,0,3892115,5,20.9
"Все быстро, не смотря на поздний час.",1,0,0,0,0,3892189,5,13.600000000000001
ответ был предоставлен оперативно и в полном объеме,1,1,0,0,0,3892432,5,18.400000000000002
"Спасибо огромное, напор стал отличным!",0,1,0,1,0,3892474,5,13.500000000000002
Спасибо) там правда все убрали и стало прям чисто) если можете еще отмыть пятна чего-то… буду очень вам признателен) возможно там нужна не только тряпка),0,1,0,1,0,3892548,5,54.2
Спасибо мастеру Сергею за четкую работу!,0,0,1,1,0,3892591,5,14.6
"Вопрос решен быстро, спасибо мастеру. Фото выполненной работы приложил и даже позвонил!",1,0,1,1,1,3892748,5,31.499999999999996
Спасибо.. все сделали быстро .. очень вежливые сотрудники.,1,0,1,0,0,3892909,5,21.2
Заявка быстра принята в работу. Проблема решена. Спасибо!,1,0,0,0,1,3893476,5,20.799999999999997
"Спасибо большое,всех благ и процветание вашей компании",0,0,0,1,0,3893860,5,19.099999999999998
благодарю за быстро и качественно оказанную услугу,1,1,0,1,0,3894130,5,18.299999999999997
Спасибо огромное! Оперативно и качественно решили проблему!,1,1,0,1,1,3894902,5,21.599999999999998
"Поднималась сегодня с утра, запаха нет совсем. Спасибо большое",0,1,0,1,1,3895042,5,22.099999999999998
"Лика, спасибо Вам за оперативный ответ и подробные разъяснения по работе с приложением!",1,0,1,1,1,3895634,5,30.900000000000002
"Спасибо большое за оперативность!)👍 Уже оценили песочек - очень хороший, чистый))) Дети были очень рады что в песочнице достаточное количество песка!)) 🤗",1,1,0,1,1,3895925,5,53.900000000000006
