id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,original_rating,is_positive,comment_length,word_count,unique_words,speed_keywords,quality_keywords,staff_keywords,execution_keywords,solved_keywords,selection_score
3627490,5,спасибо управляющей компании за то что прислали грамотного специалиста и быстро отреагировали на заявку,,,,,,5,True,103,8,14,1,0,2,0,0,36.199999999999996
3716702,5,Очень радует работа УК. Оперативно! Спасибо!,,,,,,5,True,44,5,6,1,0,1,0,0,15.999999999999998
3749719,5,"Выполнили отлично , обработка заявки была слишком дорогой",,,,,,5,True,57,7,8,0,0,0,1,0,20.4
3834081,5,"Проблема решена, ручки на окна поставили. Спасибо за обратную связь!",,,,,,5,True,68,7,10,0,0,1,0,1,24.4
3842440,5,"Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)",,,,,,5,True,75,10,10,1,0,1,1,0,27.4
3844645,5,"профессионально, быстро. очень приятный мастер",,,,,,5,True,46,5,5,1,1,1,0,0,16.7
3846831,5,"Спасибо, вопрос решили, всё стало нормально",,,,,,5,True,43,4,6,0,0,1,0,2,15.800000000000002
3848236,5,Татьяна Владимировна большое вам спасибо!!!!,,,,,,5,True,44,4,5,0,0,1,0,0,15.3
3852179,5,Огромное спасибо вам от всего подъезда!!! ))))),,,,,,5,True,47,4,7,0,0,1,0,0,16.6
3859780,5,"спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",,,,,,5,True,79,4,12,2,0,1,0,0,27.799999999999997
3863351,5,"Спасибо! По крайней мере, по ночам пока шума не слышно.",,,,,,5,True,55,6,9,0,0,1,0,0,19.8
3872124,5,"Большое спасибо Александру,за оперативность и профессионализм",,,,,,5,True,61,4,6,1,1,1,0,0,21.2
3877901,5,"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",,,,,,5,True,65,7,6,1,0,2,0,3,23.9
3878088,5,"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции",,,,,,5,True,145,13,18,0,0,2,0,0,50.300000000000004
3879856,5,Всё очень четко организовано! Большое спасибо за работу!,,,,,,5,True,56,5,8,0,0,1,0,0,19.700000000000003
3880345,5,Спасибо Вам большое и за дверь и за номера квартир!,,,,,,5,True,51,5,8,0,0,1,0,0,18.2
3881004,5,"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность !",,,,,,5,True,96,11,15,1,0,1,0,0,34.6
3881636,5,"спасибо, решили мой вопрос на месте в офисе",,,,,,5,True,43,5,8,0,0,1,0,2,16.4
3882840,5,"Спасибо больше Ольге Птушкине, за проделанную работу!",,,,,,5,True,53,5,7,0,0,1,0,0,18.599999999999998
3883200,5,"всё сделали хорошо, починили вовремя. наверное, молодцы.",,,,,,5,True,56,5,7,0,0,0,1,0,19.5
3883745,5,"Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.",,,,,,5,True,163,14,18,1,1,2,0,0,56.5
3884964,5,Умело подкрутили редукторы давления. Молодец!,,,,,,5,True,45,5,5,0,0,1,0,0,15.8
3886150,5,"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам",,,,,,5,True,98,10,16,0,0,2,0,1,35.5
3886231,5,"быстро, чётко, без проблем. одно слово - мастер!",,,,,,5,True,48,6,8,1,0,1,0,1,18.099999999999998
3886923,5,"сегодня ездил, все исправно работает, спасибо!",,,,,,5,True,46,4,6,0,0,1,0,0,16.1
3887422,5,"Сервис на высоте, мастер - профессионал",,,,,,5,True,39,4,6,0,2,1,0,0,14.6
3888354,5,"Спасибо сантехнику Алексею, все сделано качественно",,,,,,5,True,51,4,6,0,1,1,0,0,17.9
3888539,5,"Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!",,,,,,5,True,235,19,29,1,0,1,0,2,81.3
3888591,5,Очень оперативно и никуда не пришлось ходить.,,,,,,5,True,45,5,7,1,0,0,0,0,16.2
3888794,5,"оперативно, качественно, вопросов не возникло. Спасибо.",,,,,,5,True,55,4,6,1,1,1,0,1,19.7
3889542,5,Первый раз вы решили вопрос быстро,,,,,,5,True,34,6,6,1,0,0,0,2,13.499999999999998
3890275,5,отличная работа. теперь дверь закрывается плавно. спасибо.,,,,,,5,True,58,6,7,0,0,1,0,0,20.299999999999997
3890678,5,Александру спасибо за объяснение причины бульканья !,,,,,,5,True,52,4,7,0,0,1,0,0,18.099999999999998
3891095,5,мастер сделал все очень быстро и аккуратно,,,,,,5,True,42,5,7,1,1,1,1,0,16.2
3891325,5,Очень вежливый и профессиональный мастер. Устранил все недочеты оперативно и качественно. Просто отлично. Спасибо,,,,,,5,True,113,9,13,1,2,2,0,1,40.099999999999994
