comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,id,original_rating,selection_score
спасибо,0,0,0,0,0,2945792,5,2.6
спасибо!,0,0,0,0,0,3234340,5,2.9
Отлично,0,0,0,0,0,3380332,5,2.5000000000000004
Спасибо,0,0,0,0,0,3551430,5,2.6
Спасибо за обновление покраски стен,0,0,0,0,0,3584536,5,12.4
выполнили быстро,0,0,0,0,0,3596020,5,6.2
Спасибо!,0,0,0,0,0,3617808,5,2.9
спасибо управляющей компании за то что прислали грамотного специалиста и быстро отреагировали на заявку,0,0,0,0,0,3627490,5,36.199999999999996
спасибо,0,0,0,0,0,3657819,5,2.6
Решили мой вопрос. Спасибо!,0,0,0,0,0,3695420,5,10.4
Очень радует работа УК. Оперативно! Спасибо!,0,0,0,0,0,3716702,5,15.999999999999998
спасибо за оперативную работу,0,0,0,0,0,3745025,5,10.5
"Выполнили отлично , обработка заявки была слишком дорогой",0,0,0,0,0,3749719,5,20.4
спасибо большое! теперь не скрипят,0,0,0,0,0,3751364,5,12.1
Спасибо!,0,0,0,0,0,3770102,5,2.9
спасибо. все прошло очень хорошо,0,0,0,0,0,3791959,5,11.5
"Спасибо, пришли все поменяли за 10 минут",0,0,0,0,0,3797804,5,14.3
Все очень оперативно,0,0,0,0,0,3799741,5,7.3
Огромное спасибо.,0,0,0,0,0,3802024,5,6.0
Все отлично! Спасибо.,0,0,0,0,0,3805876,5,7.3999999999999995
Спасибо за оперативность!,0,0,0,0,0,3815412,5,8.9
"Все супер, Мастер 👍",0,0,0,0,0,3828569,5,7.2
Спасибо большое,0,0,0,0,0,3831509,5,5.4
"Проблема решена, ручки на окна поставили. Спасибо за обратную связь!",0,0,0,0,0,3834081,5,24.4
"Спасибо, всё чётко.",0,0,0,0,0,3839647,5,6.8
Спасибо Сергей ! )))),0,0,0,0,0,3841026,5,7.6
"Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)",0,0,0,0,0,3842440,5,27.4
спасибо),0,0,0,0,0,3843760,5,2.9
"профессионально, быстро. очень приятный мастер",0,0,0,0,0,3844645,5,16.7
спасибо!,0,0,0,0,0,3846820,5,2.9
"Спасибо, вопрос решили, всё стало нормально",0,0,0,0,0,3846831,5,15.800000000000002
Татьяна Владимировна большое вам спасибо!!!!,0,0,0,0,0,3848236,5,15.3
